time,open,high,low,close,vwap,volume,count
1738749600,0.07374,0.07381,0.07374,0.07381,0.25335103,2,
1738750500,0.074004,0.074004,0.07389,0.07398,252.495284,9,
1738751400,0.073703,0.073703,0.073703,0.073703,3.72,1,
1738752300,0.073688,0.07375,0.073677,0.073732,3.50453575,5,
1738753200,0.073659,0.073737,0.073575,0.073737,0.71655128,6,
1738754100,0.073523,0.073591,0.073246,0.073246,15.1477628,15,
1738755000,0.073615,0.07371,0.073615,0.07371,35.80313501,3,
1738755900,0.073555,0.073613,0.073555,0.073613,14.17521552,3,
1738756800,0.073542,0.073777,0.073542,0.073777,0.394521,2,
1738757700,0.073716,0.073716,0.073637,0.073637,0.14064,2,
1738758600,0.073844,0.073844,0.07372,0.07372,24.32459112,2,
1738759500,0.073636,0.073637,0.073636,0.073637,104.07371364,2,
1738760400,0.073528,0.073631,0.073487,0.073495,1198.92550679,153,
1738761300,0.073426,0.073453,0.073369,0.07337,291.28181048,72,
1738762200,0.07337,0.07337,0.073208,0.073234,990.97034047,198,
1738763100,0.073187,0.073187,0.07316,0.07316,18.10087679,29,
1738764000,0.073224,0.073224,0.072874,0.072874,10.91696301,13,
1738764900,0.07295,0.073192,0.072899,0.073134,46.54189271,8,
1738765800,0.073419,0.073706,0.073419,0.073519,32.86383126,6,
1738767600,0.073379,0.073645,0.073187,0.073645,1.26404387,5,
1738768500,0.073379,0.073499,0.073,0.073499,574.01231,18,
1738769400,0.073507,0.073507,0.073376,0.073376,0.06352,2,
1738770300,0.0735,0.0735,0.072774,0.072774,16.23556114,5,
1738771200,0.072773,0.072788,0.072532,0.072561,192.62187672,41,
1738772100,0.072657,0.072669,0.072327,0.072327,60.61405385,12,
1738773000,0.072537,0.072623,0.072443,0.072518,23.92536524,4,
1738773900,0.07232,0.07232,0.07216,0.07216,29.67832648,13,
1738774800,0.072141,0.072697,0.072101,0.072697,74.63612243,11,
1738775700,0.0726,0.072603,0.072103,0.072103,271.57902279,10,
1738776600,0.072186,0.072186,0.071876,0.071876,34.01861252,12,
1738777500,0.07187,0.072087,0.07186,0.071943,0.77405,4,
1738778400,0.072,0.072084,0.072,0.072084,2.28637949,2,
1738779300,0.072285,0.072285,0.071984,0.071984,33.09772327,3,
1738780200,0.072124,0.072124,0.072124,0.072124,0.02,1,
1738781100,0.072199,0.072628,0.072035,0.072628,7.56484362,10,
1738782000,0.072545,0.072545,0.072055,0.072055,104.69353249,7,
1738782900,0.07214,0.072216,0.072097,0.072097,10.3776,3,
1738783800,0.072048,0.072188,0.071943,0.071954,70.99702587,6,
1738784700,0.071961,0.072165,0.071801,0.071877,372.46387579,23,
1738785600,0.072,0.07205,0.072,0.07205,197.14437,18,
1738786500,0.071955,0.072026,0.071822,0.071953,8.31065322,4,
1738787400,0.071968,0.071968,0.07175,0.07175,329.8100287,29,
1738788300,0.071747,0.071844,0.071737,0.071737,17.32246,3,
1738789200,0.071769,0.071804,0.071769,0.071804,14.23633,2,
1738791000,0.07169,0.071822,0.071428,0.071819,361.91485136,25,
1738791900,0.071825,0.071825,0.071391,0.071391,3.55153848,4,
